networkDomainId,baseIp,size,id,datacenterId
7ccd6987-4338-48f4-826e-c43ada2657ca,168.128.4.176,2,9956df5e-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,168.128.4.116,2,995054fe-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
8b914f97-80db-4e57-83bf-ff593a41d233,168.128.28.0,2,628665d2-1425-11e5-8c14-b8ca3a5d9ef8,NA12
006ea1be-6746-4e3f-abae-5270594e6bf3,168.128.4.196,2,99590ea0-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
633ff927-e29b-41f2-afa0-c3ad797e05ff,168.128.4.174,2,9956a8cc-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
633ff927-e29b-41f2-afa0-c3ad797e05ff,168.128.5.148,2,99708cce-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
cac425da-a92e-4f1b-81b9-d250b617717c,168.128.4.62,2,994a7e9e-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
def84afc-f9c9-49e7-aa9a-1b3d91b4fbdf,168.128.28.118,2,62890bde-1425-11e5-8c14-b8ca3a5d9ef8,NA12
3ebc07de-4bac-4ccd-990e-275a32c9b4fd,168.128.4.138,2,9952abaa-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,168.128.28.126,2,62893636-1425-11e5-8c14-b8ca3a5d9ef8,NA12
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,168.128.28.132,2,62895b0c-1425-11e5-8c14-b8ca3a5d9ef8,NA12
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,168.128.28.14,2,62871590-1425-11e5-8c14-b8ca3a5d9ef8,NA12
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,168.128.28.158,2,6289e5fe-1425-11e5-8c14-b8ca3a5d9ef8,NA12
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,168.128.28.168,2,628a16aa-1425-11e5-8c14-b8ca3a5d9ef8,NA12
a48fd2f8-bb3c-4200-85ba-20d19421f199,168.128.4.238,2,995da992-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
dfcdb573-c54f-445d-86cd-43bf913b37d3,168.128.5.142,2,996fec1a-bdce-11e4-8c14-b8ca3a5d9ef8,NA9
c5e83e01-d7e3-4357-8725-1f7183f0ae70,168.128.28.176,2,628a3662-1425-11e5-8c14-b8ca3a5d9ef8,NA12
c5e83e01-d7e3-4357-8725-1f7183f0ae70,168.128.28.192,2,628a8c02-1425-11e5-8c14-b8ca3a5d9ef8,NA12
c5e83e01-d7e3-4357-8725-1f7183f0ae70,168.128.28.194,2,628a942c-1425-11e5-8c14-b8ca3a5d9ef8,NA12